都道府県コード又は市区町村コード,NO,都道府県名,データ名称,データ概要,データ形式,分類,URL,ライセンス,掲載ページ名,掲載ページURL,データ提供所属,備考
230006,1,愛知県,ひったくり（CSV：4KB）,令和4年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2022hittakuri.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,2,愛知県,車上ねらい（CSV：162KB）,令和4年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2022syazyounerai.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,3,愛知県,部品ねらい（CSV：133KB）,令和4年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2022buhinnerai.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,4,愛知県,自動販売機ねらい（CSV：31KB）,令和4年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2022zidouhanbaikinerai.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,5,愛知県,自動車盗（CSV：93KB）,令和4年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2022zidousyatou.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,6,愛知県,オートバイ盗（CSV：66KB）,令和4年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2022ootobaitou.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,7,愛知県,ひったくり（CSV：4KB）,令和3年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2021hittakuri.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,8,愛知県,車上ねらい（CSV：162KB）,令和3年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2021syazyounerai.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,9,愛知県,部品ねらい（CSV：133KB）,令和3年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2021buhinnerai.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,10,愛知県,自動販売機ねらい（CSV：31KB）,令和3年中の犯罪発生情報,csv,くらし・安全,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/images/aichi-2021zidouhanbaikinerai.csv,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
